소스,사업명,주관부처,마감일,상세링크,수집일시
K-Startup,「중견ㆍ중소기업 오픈이노베이션」창업기업 모집 공고,(재)광주테크노파크,2026-05-22,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177624,2026-07-23 08:02
K-Startup,2026년도 시장창출형 지능형 로봇 활용 및 확산 사업 지원 기업 모집 연장 공고,한국로봇융합연구원,2026-05-22,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177569,2026-07-23 08:02
K-Startup,『2026년 공공기술기반 시장연계 창업탐색 지원사업』글로벌 액셀러레이팅 연계 참가기업 모집,에스아이디파트너스(주),2026-05-22,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177595,2026-07-23 08:02
K-Startup,2026년 K-푸드 창업사관학교(초기창업) 참여기업 추가 모집 공고,한국식품산업클러스터진흥원,2026-05-22,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177626,2026-07-23 08:02
K-Startup,1인기업 & 예비/초기창업자 환영! 강동50+센터 공유사무실 입주자 모집(~26.5.22.(금)),강동50플러스센터,2026-05-22,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177649,2026-07-23 08:02
K-Startup,[코레일유통/본사] 제2차 청년창업 제휴사업자 모집공고,코레일유통(주),2026-05-22,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177648,2026-07-23 08:02
K-Startup,"2026년 글로벌 리테일 채널(인도네시아, 싱가포르) 진출사업 참여기업 모집",서울경제진흥원,2026-05-22,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177667,2026-07-23 08:02
K-Startup,2026년 팁스(TIPS) 오프라인 사업설명회,(사)한국엔젤투자협회,2026-05-22,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177631,2026-07-23 08:02
K-Startup,[킹고스프링] KINGO LIPS SPRINGBOARD PROGRAM 2기 모집공고,주식회사 킹고스프링,2026-05-22,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177634,2026-07-23 08:02
K-Startup,2026년 오션스타기업 육성 프로그램 모집공고,해양수산과학기술진흥원,2026-05-22,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177553,2026-07-23 08:02
K-Startup,청년창업기업 엑셀러레이팅 및 기업 수요기반 컨시어지 멘토단 모집 공고,(재)광주테크노파크,2026-05-22,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177628,2026-07-23 08:02
K-Startup,(추가)『 2026 유니콘 브릿지 with 아이티센 』 참여 스타트업 모집 - 투자&TIPS 연계,경기창조경제혁신센터,2026-05-22,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177745,2026-07-23 08:02
K-Startup,[강원창조경제혁신센터] 2026 강원BRIDGE X 창업BuS 5월 월간 데모데이,재단법인 강원창조경제혁신센터,2026-05-25,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177776,2026-07-23 08:02
K-Startup,교육) PBL기반 스마트헬스케어 (예비)스타트업 육성과정 추가모집 (잔여1석),부산진여성인력개발센터,2026-05-25,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177620,2026-07-23 08:02
K-Startup,2026년 울산 창업 L(Learn) 시리즈(연구) 모집(2차) 연장 공고,울산과학기술원 총장,2026-05-25,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177619,2026-07-23 08:02
